Year,State,Total_arrested,Population
2008,Alabama,212192,4718206
2008,Alaska,38294,687455
2008,Arizona,334238,6280362
2008,Arkansas,138372,2874554
2008,California,1547811,36604337
2008,Colorado,221175,4889730
2008,Connecticut,123405,3545579
2008,Delaware,42641,883874
2008,District of Columbia,7297,580236
2008,Florida,1149818,18527305
2008,Georgia,268869,9504843
2008,Hawaii,52818,1332213
2008,Idaho,71854,1534320
2008,Illinois,172433,12747038
2008,Indiana,220709,6424806
2008,Iowa,116614,3016734
2008,Kansas,80352,2808076
2008,Kentucky,35973,4289878
2008,Louisiana,140519,4435586
2008,Maine,57060,1330509
2008,Maryland,300165,5684965
2008,Massachusetts,149582,6468967
2008,Michigan,276904,9946889
2008,Minnesota,204367,5247018
2008,Mississippi,108280,2947806
2008,Missouri,332126,5923916
2008,Montana,32378,976415
2008,Nebraska,89301,1796378
2008,Nevada,166395,2653630
2008,New Hampshire,43634,1315906
2008,New Jersey,386427,8711090
2008,New Mexico,78500,2010662
2008,New York,300683,19212436
2008,North Carolina,413895,9309449
2008,North Dakota,27896,657569
2008,Ohio,249113,11515391
2008,Oklahoma,161466,3668976
2008,Oregon,147653,3768748
2008,Pennsylvania,483711,12612285
2008,Rhode Island,35157,1055003
2008,South Carolina,177424,4528996
2008,South Dakota,27721,799124
2008,Tennessee,309981,6247411
2008,Texas,1141646,24309039
2008,Utah,114017,2663029
2008,Vermont,13533,624151
2008,Virginia,331159,7833496
2008,Washington,228993,6562231
2008,West Virginia,41681,1840310
2008,Wisconsin,411968,5640996
2008,Wyoming,40979,546043
2009,Alabama,193586,4757938
2009,Alaska,40349,698895
2009,Arizona,336686,6343154
2009,Arkansas,125958,2896843
2009,California,1474004,36961229
2009,Colorado,213163,4972195
2009,Connecticut,138703,3561807
2009,Delaware,42366,891730
2009,District of Columbia,8416,592228
2009,Florida,1049817,18652644
2009,Georgia,320569,9620846
2009,Hawaii,51974,1346717
2009,Idaho,73268,1554439
2009,Illinois,157242,12796778
2009,Indiana,217684,6459325
2009,Iowa,110553,3032870
2009,Kansas,75034,2832704
2009,Kentucky,133542,4317074
2009,Louisiana,139698,4491648
2009,Maine,56567,1329590
2009,Maryland,283407,5730388
2009,Massachusetts,148266,6517613
2009,Michigan,296005,9901591
2009,Minnesota,191480,5281203
2009,Mississippi,123587,2958774
2009,Missouri,324277,5961088
2009,Montana,31237,983982
2009,Nebraska,84107,1812683
2009,Nevada,172548,2684665
2009,New Hampshire,49351,1316102
2009,New Jersey,387595,8755602
2009,New Mexico,95965,2036802
2009,New York,347436,19307066
2009,North Carolina,389370,9449566
2009,North Dakota,27209,664968
2009,Ohio,266624,11528896
2009,Oklahoma,159508,3717572
2009,Oregon,132035,3808600
2009,Pennsylvania,446511,12666858
2009,Rhode Island,34247,1053646
2009,South Carolina,198552,4589872
2009,South Dakota,28206,807067
2009,Tennessee,305259,6306019
2009,Texas,1174813,24801761
2009,Utah,135850,2723421
2009,Vermont,15630,624817
2009,Virginia,326202,7925937
2009,Washington,200290,6667426
2009,West Virginia,47529,1847775
2009,Wisconsin,369962,5669264
2009,Wyoming,38737,559851
2010,Alabama,155266,4785298
2010,Alaska,42084,713985
2010,Arizona,286906,6413737
2010,Arkansas,114029,2921606
2010,California,1357573,37349363
2010,Colorado,210253,5049071
2010,Connecticut,128670,3577073
2010,Delaware,37917,899769
2010,District of Columbia,1038651,604453
2010,Florida,340098,18843326
2010,Georgia,46875,9712587
2010,Hawaii,65624,1363621
2010,Idaho,145657,1571450
2010,Illinois,139062,12843166
2010,Indiana,106800,6490621
2010,Iowa,79565,3049883
2010,Kansas,148208,2859169
2010,Kentucky,142872,4346266
2010,Louisiana,54566,4544228
2010,Maine,251633,1327567
2010,Maryland,148282,5785982
2010,Massachusetts,275769,6557254
2010,Michigan,180703,9877574
2010,Minnesota,109802,5310584
2010,Mississippi,289495,2970036
2010,Missouri,25058,5996231
2010,Montana,83132,990898
2010,Nebraska,152050,1830429
2010,Nevada,46438,2704642
2010,New Hampshire,351747,1316759
2010,New Jersey,110709,8801624
2010,New Mexico,338474,2065932
2010,New York,425700,19392283
2010,North Carolina,24900,9561558
2010,North Dakota,272655,674499
2010,Ohio,153958,11536182
2010,Oklahoma,123440,3761702
2010,Oregon,452862,3838957
2010,Pennsylvania,35893,12709630
2010,Rhode Island,195496,1052886
2010,South Carolina,26717,4636312
2010,South Dakota,327693,816463
2010,Tennessee,1120190,6356897
2010,Texas,125124,25257114
2010,Utah,11458,2776469
2010,Vermont,353473,625960
2010,Virginia,217761,8024617
2010,Washington,46370,6744496
2010,West Virginia,309381,1853973
2010,Wisconsin,35170,5691047
2010,Wyoming,155266,564460
2011,Alabama,2101,4799069
2011,Alaska,39607,722128
2011,Arizona,285528,6472643
2011,Arkansas,108281,2940667
2011,California,1183470,37638369
2011,Colorado,208352,5121108
2011,Connecticut,119285,3588283
2011,Delaware,37832,907381
2011,District of Columbia,8725,619800
2011,Florida,952845,19053237
2011,Georgia,349708,9802431
2011,Hawaii,0,1379329
2011,Idaho,63005,1583910
2011,Illinois,132863,12867454
2011,Indiana,194774,6516528
2011,Iowa,105015,3066336
2011,Kansas,78391,2869225
2011,Kentucky,176087,4369821
2011,Louisiana,119085,4575625
2011,Maine,51592,1328284
2011,Maryland,229010,5839419
2011,Massachusetts,137379,6613583
2011,Michigan,251200,9882412
2011,Minnesota,176051,5346143
2011,Mississippi,102765,2978731
2011,Missouri,295080,6010275
2011,Montana,29678,997316
2011,Nebraska,81890,1840672
2011,Nevada,141908,2712730
2011,New Hampshire,40699,1320202
2011,New Jersey,333136,8828117
2011,New Mexico,108731,2080450
2011,New York,303435,19499241
2011,North Carolina,494561,9657592
2011,North Dakota,26012,685225
2011,Ohio,256625,11544663
2011,Oklahoma,134295,3788379
2011,Oregon,133414,3872036
2011,Pennsylvania,418838,12745815
2011,Rhode Island,29852,1053649
2011,South Carolina,169884,4671994
2011,South Dakota,29023,823579
2011,Tennessee,386758,6399291
2011,Texas,1026398,25645629
2011,Utah,47321,2814384
2011,Vermont,10907,627049
2011,Virginia,347903,8101155
2011,Washington,129201,6826627
2011,West Virginia,50204,1856301
2011,Wisconsin,317773,5705288
2011,Wyoming,34041,567299
2012,Alabama,1918,4815588
2012,Alaska,29690,730443
2012,Arizona,256968,6554978
2012,Arkansas,137962,2952164
2012,California,1228185,37948800
2012,Colorado,213769,5192647
2012,Connecticut,110186,3594547
2012,Delaware,39680,915179
2012,District of Columbia,0,634924
2012,Florida,960086,19297822
2012,Georgia,330261,9901430
2012,Hawaii,8832,1394804
2012,Idaho,64164,1595324
2012,Illinois,125398,12882510
2012,Indiana,151935,6537703
2012,Iowa,102554,3076190
2012,Kansas,78153,2885257
2012,Kentucky,179435,4386346
2012,Louisiana,122931,4600972
2012,Maine,51052,1327729
2012,Maryland,214837,5886992
2012,Massachusetts,137532,6663005
2012,Michigan,252589,9897145
2012,Minnesota,0,5376643
2012,Mississippi,94386,2983816
2012,Missouri,289864,6024367
2012,Montana,32384,1003783
2012,Nebraska,77665,1853303
2012,Nevada,142459,2743996
2012,New Hampshire,45492,1324232
2012,New Jersey,328432,8844942
2012,New Mexico,98410,2087309
2012,New York,338463,19572932
2012,North Carolina,435932,9749476
2012,North Dakota,29084,701176
2012,Ohio,227243,11548923
2012,Oklahoma,127825,3818814
2012,Oregon,127754,3899001
2012,Pennsylvania,433863,12767118
2012,Rhode Island,33191,1054621
2012,South Carolina,169384,4717354
2012,South Dakota,35365,833566
2012,Tennessee,356340,6453898
2012,Texas,1009136,26084481
2012,Utah,117185,2853375
2012,Vermont,13073,626090
2012,Virginia,339362,8185080
2012,Washington,172362,6897058
2012,West Virginia,46364,1856872
2012,Wisconsin,324207,5719960
2012,Wyoming,30404,576305
2013,Alabama,2119,4830081
2013,Alaska,29568,737068
2013,Arizona,279551,6632764
2013,Arkansas,138054,2959400
2013,California,1212801,38260787
2013,Colorado,230910,5269035
2013,Connecticut,95685,3594841
2013,Delaware,37321,923576
2013,District of Columbia,6154,650581
2013,Florida,904135,19545621
2013,Georgia,323435,9972479
2013,Hawaii,9556,1408243
2013,Idaho,61668,1611206
2013,Illinois,120760,12895129
2013,Indiana,129146,6568713
2013,Iowa,101402,3092997
2013,Kansas,78182,2893212
2013,Kentucky,178212,4404659
2013,Louisiana,149789,4624527
2013,Maine,49548,1328009
2013,Maryland,168692,5923188
2013,Massachusetts,135362,6713315
2013,Michigan,251825,9913065
2013,Minnesota,158799,5413479
2013,Mississippi,72824,2988711
2013,Missouri,276973,6040715
2013,Montana,30089,1013569
2013,Nebraska,69957,1865279
2013,Nevada,122498,2775970
2013,New Hampshire,44554,1326622
2013,New Jersey,302955,8856972
2013,New Mexico,65526,2092273
2013,New York,300442,19624447
2013,North Carolina,395015,9843336
2013,North Dakota,30642,722036
2013,Ohio,224248,11576684
2013,Oklahoma,125534,3853214
2013,Oregon,54323,3922468
2013,Pennsylvania,413486,12776309
2013,Rhode Island,30598,1055081
2013,South Carolina,181016,4764080
2013,South Dakota,35061,842316
2013,Tennessee,371938,6494340
2013,Texas,931814,26480266
2013,Utah,131389,2897640
2013,Vermont,13418,626210
2013,Virginia,321040,8252427
2013,Washington,189806,6963985
2013,West Virginia,49225,1853914
2013,Wisconsin,305446,5736754
2013,Wyoming,31636,582122
2014,Alabama,1815,4841799
2014,Alaska,25935,736283
2014,Arizona,261448,6730413
2014,Arkansas,119850,2967392
2014,California,1217089,38596972
2014,Colorado,239994,5350101
2014,Connecticut,107855,3594524
2014,Delaware,36780,932487
2014,District of Columbia,5709,662328
2014,Florida,865272,19845911
2014,Georgia,307221,10067278
2014,Hawaii,9464,1414538
2014,Idaho,59003,1631112
2014,Illinois,108211,12884493
2014,Indiana,143682,6593644
2014,Iowa,100607,3109350
2014,Kansas,68291,2900475
2014,Kentucky,178916,4414349
2014,Louisiana,121145,4644013
2014,Maine,47815,1330513
2014,Maryland,195120,5957283
2014,Massachusetts,125708,6762596
2014,Michigan,246442,9929848
2014,Minnesota,151155,5451079
2014,Mississippi,79522,2990468
2014,Missouri,256349,6056202
2014,Montana,29766,1021869
2014,Nebraska,73802,1879321
2014,Nevada,122274,2817628
2014,New Hampshire,46180,1333341
2014,New Jersey,303639,8864525
2014,New Mexico,81447,2089568
2014,New York,264268,19651049
2014,North Carolina,369728,9932887
2014,North Dakota,30653,737401
2014,Ohio,244134,11602700
2014,Oklahoma,123408,3878187
2014,Oregon,71804,3963244
2014,Pennsylvania,415346,12788313
2014,Rhode Island,30447,1055936
2014,South Carolina,157253,4823617
2014,South Dakota,35375,849129
2014,Tennessee,358850,6541223
2014,Texas,849887,26964333
2014,Utah,118405,2936879
2014,Vermont,11381,625214
2014,Virginia,300102,8310993
2014,Washington,183687,7054655
2014,West Virginia,43394,1849489
2014,Wisconsin,281399,5751525
2014,Wyoming,28872,582531
2015,Alabama,140450,4852347
2015,Alaska,31402,737498
2015,Arizona,226367,6829676
2015,Arkansas,127083,2978048
2015,California,1158479,38918045
2015,Colorado,226807,5450623
2015,Connecticut,85327,3587122
2015,Delaware,34687,941252
2015,District of Columbia,7218,675400
2015,Florida,772956,20209042
2015,Georgia,231108,10178447
2015,Hawaii,37603,1422052
2015,Idaho,52162,1651059
2015,Illinois,91218,12858913
2015,Indiana,150628,6608422
2015,Iowa,89891,3120960
2015,Kansas,62188,2909011
2015,Kentucky,195415,4425976
2015,Louisiana,111454,4664628
2015,Maine,45230,1328262
2015,Maryland,159178,5985562
2015,Massachusetts,116347,6794228
2015,Michigan,240942,9931715
2015,Minnesota,148307,5482032
2015,Mississippi,71916,2988471
2015,Missouri,222609,6071732
2015,Montana,25687,1030475
2015,Nebraska,45859,1891277
2015,Nevada,115675,2866939
2015,New Hampshire,44368,1336350
2015,New Jersey,264250,8867949
2015,New Mexico,87310,2089291
2015,New York,271540,19654666
2015,North Carolina,278625,10031646
2015,North Dakota,32565,754066
2015,Ohio,226325,11617527
2015,Oklahoma,110974,3909500
2015,Oregon,76969,4015792
2015,Pennsylvania,377078,12784826
2015,Rhode Island,27171,1056065
2015,South Carolina,151136,4891938
2015,South Dakota,48048,853988
2015,Tennessee,335281,6591170
2015,Texas,808119,27470056
2015,Utah,115453,2981835
2015,Vermont,11183,625216
2015,Virginia,268167,8361808
2015,Washington,186866,7163657
2015,West Virginia,40568,1842050
2015,Wisconsin,265628,5760940
2015,Wyoming,27058,585613
2016,Alabama,,4863525
2016,Alaska,,741456
2016,Arizona,,6941072
2016,Arkansas,,2989918
2016,California,,39167117
2016,Colorado,,5539215
2016,Connecticut,,3578141
2016,Delaware,,948921
2016,District of Columbia,,685815
2016,Florida,,20613477
2016,Georgia,,10301890
2016,Hawaii,,1427559
2016,Idaho,,1682380
2016,Illinois,,12820527
2016,Indiana,,6634304
2016,Iowa,,3131371
2016,Kansas,,2910844
2016,Kentucky,,4438182
2016,Louisiana,,4678135
2016,Maine,,1331317
2016,Maryland,,6003323
2016,Massachusetts,,6823608
2016,Michigan,,9950571
2016,Minnesota,,5522744
2016,Mississippi,,2987938
2016,Missouri,,6087135
2016,Montana,,1040859
2016,Nebraska,,1905616
2016,Nevada,,2917563
2016,New Hampshire,,1342307
2016,New Jersey,,8870827
2016,New Mexico,,2091630
2016,New York,,19633428
2016,North Carolina,,10154788
2016,North Dakota,,754434
2016,Ohio,,11634370
2016,Oklahoma,,3926331
2016,Oregon,,4089976
2016,Pennsylvania,,12782275
2016,Rhode Island,,1056770
2016,South Carolina,,4957968
2016,South Dakota,,862996
2016,Tennessee,,6646010
2016,Texas,,27914410
2016,Utah,,3041868
2016,Vermont,,623657
2016,Virginia,,8410106
2016,Washington,,7294771
2016,West Virginia,,1831023
2016,Wisconsin,,5772628
2016,Wyoming,,584215
2017,Alabama,153285,4874486
2017,Alaska,29152,739700
2017,Arizona,277698,7044008
2017,Arkansas,123971,3001345
2017,California,1093363,39358497
2017,Colorado,234409,5611885
2017,Connecticut,100211,3573297
2017,Delaware,31549,956823
2017,District of Columbia,17986,694906
2017,Florida,713085,20963613
2017,Georgia,230640,10410330
2017,Hawaii,35618,1424393
2017,Idaho,51686,1717715
2017,Illinois,64552,12778828
2017,Indiana,147199,6658078
2017,Iowa,94485,3141550
2017,Kansas,61144,2908718
2017,Kentucky,219872,4452268
2017,Louisiana,166867,4670560
2017,Maine,40675,1334612
2017,Maryland,165877,6023868
2017,Massachusetts,118676,6859789
2017,Michigan,244417,9973114
2017,Minnesota,143702,5566230
2017,Mississippi,78239,2988510
2017,Missouri,228042,6106670
2017,Montana,30824,1052482
2017,Nebraska,5708,1915947
2017,Nevada,112004,2969905
2017,New Hampshire,47516,1348787
2017,New Jersey,281631,8885525
2017,New Mexico,40552,2091784
2017,New York,259257,19589572
2017,North Carolina,240365,10268233
2017,North Dakota,39944,754942
2017,Ohio,224423,11659650
2017,Oklahoma,106731,3931316
2017,Oregon,124851,4143625
2017,Pennsylvania,372570,12787641
2017,Rhode Island,22707,1055673
2017,South Carolina,153573,5021268
2017,South Dakota,63625,872868
2017,Tennessee,350912,6708799
2017,Texas,745719,28295273
2017,Utah,104741,3101042
2017,Vermont,13969,624344
2017,Virginia,258878,8463587
2017,Washington,173344,7423362
2017,West Virginia,39296,1817004
2017,Wisconsin,252142,5790186
2017,Wyoming,27914,578931
2018,Alabama,126404,4887681
2018,Alaska,30620,735139
2018,Arizona,256785,7158024
2018,Arkansas,120240,3009733
2018,California,1093080,39461588
2018,Colorado,193216,5691287
2018,Connecticut,95709,3571520
2018,Delaware,28742,965479
2018,District of Columbia,13682,701547
2018,Florida,715424,21244317
2018,Georgia,200643,10511131
2018,Hawaii,24487,1420593
2018,Idaho,52292,1750536
2018,Illinois,86947,12723071
2018,Indiana,125536,6695497
2018,Iowa,0,3148618
2018,Kansas,32837,2911359
2018,Kentucky,205075,4461153
2018,Louisiana,176520,4659690
2018,Maine,40851,1339057
2018,Maryland,181434,6035802
2018,Massachusetts,101681,6882635
2018,Michigan,235757,9984072
2018,Minnesota,147370,5606249
2018,Mississippi,60902,2981020
2018,Missouri,197865,6121623
2018,Montana,27357,1060665
2018,Nebraska,53007,1925614
2018,Nevada,140967,3027341
2018,New Hampshire,46413,1353465
2018,New Jersey,226427,8886025
2018,New Mexico,74786,2092741
2018,New York,244041,19530351
2018,North Carolina,200411,10381615
2018,North Dakota,33210,758080
2018,Ohio,218433,11676341
2018,Oklahoma,101053,3940235
2018,Oregon,125230,4181886
2018,Pennsylvania,345822,12800922
2018,Rhode Island,25996,1058287
2018,South Carolina,152664,5084156
2018,South Dakota,44268,878698
2018,Tennessee,330989,6771631
2018,Texas,729902,28628666
2018,Utah,104886,3153550
2018,Vermont,14334,624358
2018,Virginia,268094,8501286
2018,Washington,171466,7523869
2018,West Virginia,29202,1804291
2018,Wisconsin,245015,5807406
2018,Wyoming,28437,577601
